,Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal,Telephone,Mail,Site_web,Commune,Description
0,Restaurant Le Vivier,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#GourmetRestaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,47.7007,-3.43166900000006,9 Rue De Beg Er Vir - Lomener,56270,+33 2 97 82 99 60,info@levivier-lomener.com,http://www.levivier-lomener.com/|#+33,Ploemeur,
1,Camping de la Plage,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.74183,-3.500913,Fort Bloqué,56520,+33 2 97 05 95 46,info@campingplageguidel.com,https://www.campingplageguidel.com/|SARL,Guidel,
2,Crêperie La Rozell,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,47.75143,-3.360582,7 rue Maréchal Foch,56100,+33 2 97 64 41 74,,http://www.creperie-larozell.com/|#+33,Lorient,Crêperie traditionnelle. Située au centre ville.Ouvert tous les jours sauf le dimanche hors saison. Ouvert 7j/7 pendant le Festival Interceltique.
3,Camping La Plage des Granges,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.51752,-2.482901,5 Les Granges,56190,+33 2 97 45 68 23,alain.boceno@orange.fr,http://www.campingdelaplage.net/|CAMPING,Billiers,"Ambiance familiale et conviviale avec, en nouveauté, sa piscine couverte et chauffée..."
4,Camping de Pont Augan,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.88289,-3.109227,Pont Augan,56150,+33 2 97 65 19 19,camping.p.augan@live.fr,http://www.camping-pontaugan.com/|#+33,Baud,"Situé sur les bords du Blavet, à proximité d'une base de loisirs (canoë, kayak) et au pied des sentiers de randonnée, 32 emplacements, 4 gîtes ouverts toute l'année."
5,Hôtel Victor Hugo,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.74212,-3.360986,36 Rue Lazare Carnot,56100,+33 2 97 21 16 24,contact@hotelvictorhugo-lorient.com,http://www.hotelvictorhugo-lorient.com/|#+33,Lorient,"Chaleureux hôtel à la décoration soignée. Idéalement situé en centre-ville de Lorient, dans un quartier calme."
6,Flower Camping La Blanche Hermine,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.56245,-2.447298,D20 Le Petit Boissignan,56190,+33 2 97 45 67 03,infos@lablanchehermine.fr,http://www.lablanchehermine.fr/|SARL,Muzillac,"A 7 km de la mer, avec piscine et bassin pour enfants couverts et chauffés...<>A proximité de Vannes (25 kms) et de la presqu’île de Rhuys, ce camping 3* offre un cadre verdoyant avec les belles plages du Morbihan à quelques minutes. Un excellent choix pour mêler détente et découverte de la Bretagne Sud, en famille ou entre amis."
7,Urban Style Hôtel de France,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.66315,-2.75618,57 avenue Victor Hugo,56000,+33 2 97 47 27 57,contact@hotelfrance-vannes.com,http://hotelfrance-vannes.com/|HOTEL,Vannes,"Situé en centre ville à deux pas de la gare, proche du centre historique et du Palais des Arts et et des Congrès."
8,Camping de l'Allée,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.62124,-2.840289,5 L'Allée,56610,+33 2 97 44 01 98,contact@camping-allee.com,http://www.camping-allee.com/|#+33,Arradon,"Le camping est situé à 2km du bourg d'Arradon, au cœur du Golfe du Morbihan.<>Le camping est situé à 1.5km du bourg d'Arradon, au cœur du Golfe du Morbihan"
9,Camping Entre Terre et Mer,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.85174,-3.412879,Route D'Arzano Sapin En Gam,56620,+33 2 97 32 56 56,contact@camping-terre-et-mer.com,http://www.camping-terre-et-mer.com/<>https://www.camping-terre-et-mer.com/|Sarl,Pont-Scorff,"Comme son nom l’indique, ce camping 3* du Morbihan se situe entre campagne et littoral. Blotti sur un magnifique site arboré et fleuri, il permet de se ressourcer en pleine verdure avec Lorient et les belles plages de Guidel à proximité (moins de 15 kms)."
10,Camping  Ty Nénez,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.83179,-3.40126499999997,Nénez Route De Lorient,56620,+33 2 97 32 51 16,contact@camping-tynenez.com,http://www.lorient-camping.com/|#+33,Pont-Scorff,"Situé à 6 km de l'entrée de Lorient, à 600 m du zoo de Pont-Scorff, et à 13 km des plages de sable fin. Au coeur de la nature, locations de mobil-homes classe affaire ou tourisme, emplacements tente, caravane, camping-car (borne de service), piscine intérieure chauffée, eau à 30°. Bus réguliers pour villes et plages, voie verte jusqu'à Lorient, randonnées pédestres, ateliers d'artisanat d'art. Accueil groupe. Ouvert toute l'année."
