,Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal,Telephone,Mail,Site_web,Commune,Description
0,Croisière Exclusive,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.590132,9.283183,Port de plaisance Quai Pascal Paoli,20137,+33 6 25 81 20 84,a@gmail.com,http://www.croisiere-exclusive.fr/,Porto-Vecchio,"Croisières en mer et location de bateaux avec skipper à la journée ou demi-journée, avec ou sans repas à bord. Départ du ponton de Moby Dick à Santa Giulia et/ou du Port de Plaisance de Porto-Vecchio. 12 pers. max à bord. Privatisation possible."
2,Touristra La Balagne,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#ClubOrHolidayVillage|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.556401,8.759972,BP 112 Avenue Christophe Colomb -,20260,+33 890 56 75 67,calvi@touristravacances.com,https://www.touristravacances.com/fiche-etablissement/saison-ete/calvi-la-balagne,Calvi,Village club avec pension complète ou 1/2 pension avec piscine et animation adulte et enfants situé à Calvi en Corse.
4,A Casa di Mà,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.58108,8.832131,Village - RT 30,20260,+33 4 95 60 61 71,contact@acasadima.com,https://www.acasadima.com/,Lumio,"A Casa di Mà, hôtel 4 étoiles situé à Lumio, à 5 minutes de Calvi, village de beauté, à mi chemin de la mer et de la montagne, offre à ses nombreux visiteurs l'un des panoramas les plus beaux de Balagne."
5,Holzer,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,41.59,9.2769,12 rue Jean Jaures,20137,+33 4 95 70 05 93,contact@hotel-holzer.com,http://www.hotel-holzer.com/,Porto-Vecchio,"Idéalement situé en centre-ville, hôtel entièrement rénové, tout équipé. Parking. Wifi. Chambres climatisées, chaines TV étrangères. Garage moto/vélo et parking voiture gratuit (nombre de places limité)."
6,L'Autre Croisière,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.389,9.1653,Port de Plaisance,20169,+33 6 07 04 22 55,lautrecroisiere@gmail.com,http://www.lautrecroisiere.com/,Bonifacio,"Dégustez nos fameuses pâtes à la langouste dans une crique des îles Lavezzi, au cœur de la Réserve Naturelle des Bouches de Bonifacio ! Journée détente et farniente. Tous les jours, départ 9h30, retour 18h. Sortie à la journée avec repas."
7,Société des Promenades en Mer de Bonifacio,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.38859,9.158226,Port de Plaisance,20169,+33 4 95 10 97 50,spmbonifacio@orange.fr,http://www.spmbonifacio.com/,Bonifacio,"La Société des Promenades en Mer de Bonifacio, SPMB vous conduit au cœur de la Réserve Naturelle des Bouches de Bonifacio.
Formidables découvertes, d’1h pour les grottes et falaises et d’une journée ou une demi-journée pour l’archipel des îles Lavezzi."
8,Les Pins,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.564269,8.744466,Route de Porto (par la côte),20260,+33 4 95 65 26 95,residence-les-pins@calvi-location.fr,http://www.residence-les-pins.com/<>https://www.calvi-location.fr/fr/motel-les-pins_4.html,Calvi,"Résidence de vacances en corse avec piscine , située à Calvi en Balagne, au calme, dans un parc ombragé et à proximité de la mer. Connexion internet WiFi gratuite.
Promesse d'une rencontre avec... Philippe et sa réceptionniste Maria"
9,Le Saint Erasme,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.568137,8.750731,Route de Porto (par la côte),20260,+33 4 95 65 04 50,info@hotel-st-erasme.com,http://www.hotel-st-erasme.com/,Calvi,"L'hôtel Le Saint Erasme, situé à Calvi en Balagne et dominant la mer jouit d'une vue exceptionnelle surtout au coucher du soleil !
Il adhère au programme ""Rispettu"" afin de mesurer et, surtout, réduire les impacts  de l'établissement sur l'environnement."
10,Tramariccia,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.565083,8.746188,Route de Porto (par la côte),20260,+33 4 95 65 94 00,residence.tramariccia@wanadoo.fr,http://www.residence-tramariccia.com/,Calvi,"La Résidence Tramariccia en Balagne en Corse, vous propose différents types de locations en plein cœur d’une magnifique pinède."
11,Calvi Résidence,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.563953,8.742781,Route de Porto (par la côte),20260,+33 4 95 65 26 95,calvi-residence@calvi-location.fr,https://www.calviresidence.com/,Calvi,"Appartements standing climatisés, situés à Calvi, en bord de mer avec terrasse  vue imprenable sur  la Revellata.
1 place de parking privative par appartement. Promesse d'une rencontre avec... Marie-Ange, Philippe et leur réceptionniste Virginie"
13,Casa Bianca,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.563021,8.753575,Route de Santore Chemin San Francesco,20260,+33 4 95 60 08 33,info@hotel-casa-bianca.com,https://www.hotel-casa-bianca.com/,Calvi,"Les chambres de cet hôtel *** situé à Calvi en Balagne sont modernes et élégantes. Elles vous offrent une atmosphère calme et reposante qui vous laissera rêveur, pour le plus grand plaisir des amoureux et des familles en vacances en Corse."
14,Best Western Premier Santa Maria,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.638412,8.934802,Route du Port,20220,+33 4 95 63 05 05,infos@hotelsantamaria.com,http://www.hotelsantamaria.com/,L'Île-Rousse,"Idéalement situé face aux îles rousses de la ville, les pieds dans l'eau avec accès direct à la plage pour un séjour de rêve. Tout le confort d'un 4 étoiles, des terrasses et salons avec vue sur mer."
18,Fort Torretta - Fort Charlet,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#DefenceSite,42.566671,8.751931,Avenue du Commandant Marche Centre de Conservation et de Restauration du Patrimoine Mobilier de Corse,20260,+33 4 20 03 94 75,contact@corse.fr,https://www.corse.fr/<>https://www.isula.corsica/,Calvi,"Cet ancien fort militaire dont la construction s'est achevée en 1845, a été bâti d'après les dessins du Capitaine de Génie Militaire Esmenard."
20,Isula Rossa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.637996,8.935111,Route du port,20220,+33 4 95 60 01 32,hotelisularossa@wanadoo.fr,http://www.isularossa.com/,L'Île-Rousse,"L'hôtel Isula Rossa vous accueille pour votre séjour à L'Ile-Rousse. Une équipe jeune et dynamique vous attend dans cet établissement de charme situé face à la mer et à 300m du centre ville, de la plage et du port."
22,Les Oliviers,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.631253,8.952512,La ferme Route de Bastia RT30,20220,+33 4 95 60 19 92,contact@camping-oliviers.com,http://www.camping-oliviers.com/,Monticello,Le camping les Oliviers vous accueille pour vos prochaines vacances sur son terrain ombragé de vieux oliviers à quelques minutes à pied du centre ville de L'Ile-Rousse et des plages. Vous pourrez vous y restaurer directement sur place.
27,Chiocca Croisières,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.591235,9.283752,Port de Plaisance,20137,+33 4 95 70 33 67,vincentchiocca@aol.com,http://www.croisieres-ruscana.com/,Porto-Vecchio,"Promenade en mer à bord de nos bateaux, Ruscana et Ile de Beauté, à destination des îles Lavezzi. Repas à bord, trois menus au choix : le menu de la mer (bouillabaisse), le menu corse et le menu végétarien. Départs de Porto-Vecchio et Pinarellu."
34,A Marina,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.608523,8.87424,RT30 - Lieu dit Padule Aregno Plage,20220,+33 4 95 60 75 41,info@marinacamping.fr,http://www.marinacamping.fr/,Aregno,"Camping situé à Aregno Plage, en Balagne en Corse.
Accès piétonnier (50 m) à la magnifique plage de la baie d’Algajola.
Promesse d'une rencontre avec...Isabelle et son équipe"
39,Santa Vittoria - Hôtel de la Plage,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.607708,8.864472,Hôtel de la Plage,20220,+33 4 95 35 17 03,martelli-jhp@orange.fr,http://www.hotelplage-vittoria-corse.com/,Algajola,"L'Hôtel de la Plage ""Santa Vittoria"" vous invite à séjourner en Balagne et en Corse dans un véritable havre de paix. Entre mer et montagne, Algajola bénéficie d'une situation exceptionnelle."
42,Bureau d'Information Touristique de la Citadelle,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Store|https://www.datatourisme.fr/ontology/core#LocalTouristOffice|https://www.datatourisme.fr/ontology/core#TouristInformationCenter|http://schema.org/LocalBusiness|http://schema.org/TouristInformationCenter,42.568,8.7595,Citadelle Porche d'entrée,20260,+33 4 95 65 16 67,tourisme@balagne-corsica.com,https://www.balagne-corsica.com/,Calvi,"En saison, le Bureau d'Information Touristique vous accueille à l'entrée de la Citadelle de Calvi du XIIIème siècle."
43,MUDACC - Musée des Arts de la Citadelle de Calvi,http://schema.org/Museum|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#Museum|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/LocalBusiness,42.568,8.7595,Citadelle Porche d'entrée,20260,+33 4 95 38 33 93,patrimoine.oti.calvi@gmail.com,https://www.balagne-corsica.com/,Calvi,Musée des Arts de la Citadelle de Calvi
44,Belvédère de Palombaggia,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.564,9.3193,Route de Palombaggia,20137,+33 4 95 70 95 70,infopalombaggia@gmail.com,http://www.palombaggia.com/,Porto-Vecchio,"A 900 mètres de la plage de Palombaggia, résidence de 16 mini-villas :
Pour 2 personnes - 55m² - 1 chambre climatisée et 1 salle d'eau ;
Pour 4 personnes - 65m² - 2 chambres climatisées et 2 salles d'eau."
45,Funtana Marina,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.549489,9.298516,Route de Palombaggia,20137,+33 4 95 70 33 72,info@funtanamarina.com,http://www.funtanamarina.com/,Porto-Vecchio,"Funtana Marina est un petit havre de paix face à la mer où il fait bon vivre.
La résidence vous propose 15 logements tout confort avec vue panoramique sur la mer, piscine chauffée et accès piéton aux plages d'Asciaghju, Folaca et Palombaggia."
46,Isulella Hôtel Restaurant,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,41.591485,9.308531,Route de Palombaggia,20137,+33 4 95 53 78 82,contact@isulella-hotel.com,http://www.isulella-hotel.com/,Porto-Vecchio,"Isulella, situé sur la route de Palombaggia, dans un cadre paisible, pieds dans l’eau, offrant une vue spectaculaire sur le golfe de Porto-Vecchio, avec la montagne en toile de fond. 
Animaux de compagnie acceptés / Pets Friendly."
47,U Cantu di I Cardellini,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.584013,9.307353,Route de Palombaggia,20137,+33 4 95 70 43 37,info@icardellini.com,http://www.icardellini.com/,Porto-Vecchio,"Promesse d'un agréable séjour dans notre coin de paradis entre plage et ville, avec piscine chauffée, terrasse et son inoubliable vue aux magnifiques couchés de soleil dignes de cartes postales."
48,U Pirellu,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.589251,9.331112,Route de Palombaggia,20137,+33 4 95 70 23 44,u.pirellu@wanadoo.fr,http://camping-palombaggia.cors,Porto-Vecchio,"Notre Camping est situé dans un site exceptionnel de plus de 10 ha, au cœur de la suberaie sur la presqu’île de Palombaggia.
Le camping vous propose des emplacements très ombragés et des chalets climatisés avec vue sur la mer."
50,Hôtel Palombaggia,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,41.566187,9.334261,Route de Palombaggia,20137,+33 6 48 85 45 95,contact@hotelpalombaggia.fr,https://www.hotelpalombaggia.fr/,Porto-Vecchio,"Dans un écrin de verdure, au milieu de pins laricci endémique à la Corse et à quelques minutes à pied de la célèbre plage de Palombaggia, l’hôtel Palombaggia offre sérénité et détente."
