,Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal,Telephone,Mail,Site_web,Commune,Description
0,Hôtel Baume,https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,48.8501522,2.339278199999967,7 rue Casimir Delavigne,75006,+33 1 53 10 28 50,reservation@hotelbaume.com,http://www.baume-hotel-paris.com/,Paris,"Implanté au cœur du quartier de l'Odéon, cet hôtel de charme propose une trentaine de chambres et suites, de style Art déco. Elles sont toutes personnalisées, agrémentées d'objets chinés et de tissus précieux. Certaines bénéficient d'une vue sur le théâtre de l'Odéon. L'hôtel possède un salon feutré qui donne accès à un jardin intérieur calme et aménagé. La présence de nombreux restaurants, cinémas et bars caractérise ce quartier animé."
1,Campanile Évry Est - Saint-Germain-les-Corbeil,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.63111814467224,2.487905323525979,Le Parc des Chevreaux - La Pointe Ringale,91250,+33 1 69 89 12 13,stgermainlescorbeil@campanile.fr,http://campanile-evry-est-saint-germain-les-corbeil.fr/,Saint-Germain-lès-Corbeil,"Cet hôtel modeste se situe dans l’Essonne, à trois minutes de marche du golf de Saint-Germain-les-Corbeil. Les chambres sont modernes et sobrement décorées. Certaines possèdent des lits superposés pour les enfants. Le petit déjeuner est un buffet proposé à volonté. Le restaurant sert une cuisine familiale et traditionnelle. L’établissement dispose d'une terrasse et d'un parking."
2,Adagio Paris La Défense Esplanade,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,48.8880103,2.2470382999999856,35 cours Michelet - La Défense 10,92060,+33 1 47 73 90 90,,http://www.adagio-city.com/,Puteaux,"Cette résidence de tourisme est installée dans un immeuble à l’architecture moderne du centre d'affaires et de commerces de La Défense. Elle est située à trois minutes de la ligne 1 du métro, permettant un accès direct et rapide vers le centre de Paris. Tous ses studios et appartements disposent d’un coin repas équipé, d’un espace bureau et d’un coffre-fort. Les berges de la Seine se trouvent à dix minutes de marche."
3,Crowne Plaza Paris République,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.86729924863622,2.3654486713495126,10 place de la République,75011,+33 1 43 14 43 50,reservations@cp-paris.com,https://www.ihg.com/crowneplaza/hotels/fr/fr/paris/pardl/hoteldetail,Paris,"Installé dans un bel immeuble du XIXe siècle, le Crowne Plaza Paris République est un hôtel haut de gamme dominant la place de la République. Une remarquable marquise en verre et fer forgé orne la façade. Les chambres et les suites sont modernes et leurs couleurs sont chaudes. Certaines ont vue sur cour. Le restaurant sert une cuisine gastronomique française en service continu. L’hôtel possède une vaste terrasse aménagée et bien orientée où il est possible de déjeuner et se détendre."
4,Le Dix,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,48.86719621490155,2.3656195730058744,10 place de la République,75011,+33 1 43 14 43 50,reservations@pardl.crowneplaza.com,https://www.ihg.com/,Paris,
5,Hyatt Paris Madeleine,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.8728285,2.321298500000012,24 boulevard Malesherbes,75008,+33 1 55 27 12 34,madel-rfp@hyatt.com,https://www.hyatt.com/en-US/hotel/france/hyatt-paris-madeleine/madel?src=corp_lclb_gmb_seo_madel,Paris,"L'hôtel Hyatt Paris Madeleine est un hôtel haut de gamme, implanté dans le 8e arrondissement. Ses chambres et suites sont élégantes et modernes. Certaines sont dotées d'un grand balcon. Les salles de bains sont spacieuses et en marbre. Le restaurant sert une cuisine française revisitée, en salle ou en terrasse. Le bar est niché sous une remarquable verrière classée. L'hôtel abrite un sauna et une salle de fitness. Quatre salons, ainsi que le 7e étage peuvent être privatisés."
6,Hôtel La Tamise,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.8648579,2.3295653999999786,4 rue d'Alger,75001,+33 1 40 41 14 14,tamise@espritdefrance.com,http://www.tamisehotel.com/,Paris,"Situé en plein cœur de la capitale, à proximité de la place Vendôme, l'hôtel La Tamise est élégant et haut de gamme. Il est installé dans une rue calme donnant sur le jardin des Tuileries. Il se distingue par ses vitraux, miroirs, cheminées et parquets d'époque. Les chambres sont lumineuses et dotées de tissus et meubles conçus sur mesure. L'hôtel abrite un bar, un salon de thé et un restaurant à la cuisine raffinée."
7,L’Echiquier Paris MGALLERY COLLECTION,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.87180679999999,2.349275000000034,38 rue de l'Échiquier,75010,+33 1 42 46 92 75,,https://all.accor.com/hotel/9375/index.fr.shtml,Paris,"Implanté à proximité des Grands Boulevards, l'hôtel L'Échiquier Opéra Paris se distingue par son esprit Art déco. Ses chambres sont élégantes et pourvues d'un bureau et d'un minibar. Certaines offrent une vue sur la butte Montmartre. L'hôtel possède deux bars, l'un aménagé dans un jardin d'hiver, l'autre sous une verrière Belle Époque. Il propose également la location de plusieurs salles de réunion."
8,Kyriad Meaux,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.9566075,2.908303599999954,32 avenue de la Victoire - RN 3,77100,+33 1 64 33 15 47,meaux@kyriad.fr,http://kyriad-meaux.fr/,Meaux,"L'hôtel Kyriad Meaux est installé dans un quartier résidentiel et verdoyant, à cinq minutes du centre ville. La gare la plus proche se situe à trois kilomètres. Les chambres familiales sont dotées de lits superposés. Le restaurant propose une cuisine traditionnelle italienne. Elle peut être servie en salle ou sur une vaste terrasse. L'hôtel bénéficie d'un parking privé."
9,Courtyard by Marriott Paris Arcueil,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.8102041,2.3274662000000035,6 avenue du Président Salvador Allende,94110,+33 1 77 01 21 21,France.reservations@marriott.com,https://www.marriott.com/hotels/travel/parac-courtyard-paris-arcueil/,Arcueil,"Cet hôtel moderne est situé au sud de Paris, à dix minutes à pied de la station Laplace (RER B).Il propose des chambres colorées et spacieuses. Le restaurant et le bar, de style cosy, sont accessibles à toute heure de la journée, en salle ou en terrasse. Un centre de fitness est à la disposition de la clientèle. Plusieurs salles sont dédiées à l’organisation d’évènements – mariages, cocktails, séminaires-."
