,Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal,Telephone,Mail,Site_web,Commune,Description
0,Aloha Réunion - Le Salazie,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.2757,55.4902,"80, chemin Alexis Fontaine",97432,+33 6 93 45 09 27,aloha.reunion@gmail.com,,Saint-Pierre,
1,Aloha Réunion - Le Piton de la Fournaise,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.2757,55.4902,"80, chemin Alexis Fontaine",97432,+33 6 93 45 09 27,aloha.reunion@gmail.com,,Saint-Pierre,
2,Aloha Réunion - Le Cilaos,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.2757,55.4902,"80, chemin Alexis Fontaine",97432,+33 6 93 45 09 27,aloha.reunion@gmail.com,,Saint-Pierre,
3,Aloha Réunion - Le Mafate,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.2757,55.4902,"80, chemin Alexis Fontaine",97432,+33 6 93 45 09 27,aloha.reunion@gmail.com,,Saint-Pierre,
4,Aux Nids d'Hirondelles,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.343197,55.479924,"11 bis, rue Amiral Lacaze - Terre Sainte",97410,+33 2 62 42 17 23,mathis@live.fr,,Saint-Pierre,
5,Capucine les Hauts,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.260916,55.431705,"27, rue Calmette et Guérin - Ruisseau",97421,+33 2 62 91 36 59,loc.rosa@gmail.com,http://www.capucines.net/,Saint-Louis,
6,Gîte Bienvenue dans les Hauts,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#StopOverOrGroupLodge|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-20.983,55.375,7 rue Ferdinand Louise,97419,+33 6 92 67 28 47,gitebienvenuedansleshauts@yahoo.com,https://www.bienvenuedansleshauts.com/,La Possession,
7,Central Hôtel,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-20.87775166,55.45053087,"37, rue de la Compagnie",97400,+33 2 62 94 18 08,central.hotel@wanadoo.fr,http://www.centralhotel.re/,Saint-Denis,
8,Gîte de la Colline (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.02944343,55.51083311,"82, chemin Plateau Payet - Mare à Vieille Place",97433,+33 2 62 30 15 08,gdc.run@gmail.com,https://gitesdelacolline.jimdo.com/,Salazie,
9,Maison Mucuna (La),https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|https://www.datatourisme.fr/ontology/core#PlaceOfInterest,-21.0482525,55.2212924,"1, rue Leconte de Lisle - Grand Fond",97434,+33 2 62 33 00 50,reserveinfo@maison-mucuna.com,http://www.maison-mucuna.com/,Saint-Paul,
