,URI,Label,ParentURI,ParentLabel
0,https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace,"Site sportif, récréatif et de loisirs",https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace,"Site sportif, récréatif et de loisirs"
1,https://www.datatourisme.fr/ontology/core#NaturalHeritage,Site naturel,https://www.datatourisme.fr/ontology/core#NaturalHeritage,Site naturel
2,https://www.datatourisme.fr/ontology/core#CulturalSite,Site culturel,https://www.datatourisme.fr/ontology/core#CulturalSite,Site culturel
3,https://www.datatourisme.fr/ontology/core#TouristInformationCenter,Service d'information touristique,https://www.datatourisme.fr/ontology/core#TouristInformationCenter,Service d'information touristique
4,https://www.datatourisme.fr/ontology/core#FoodEstablishment,Restauration,https://www.datatourisme.fr/ontology/core#FoodEstablishment,Restauration
5,https://www.datatourisme.fr/ontology/core#ActivityProvider,Prestataire d'activité,https://www.datatourisme.fr/ontology/core#ActivityProvider,Prestataire d'activité
6,https://www.datatourisme.fr/ontology/core#Accommodation,Hébergement,https://www.datatourisme.fr/ontology/core#Accommodation,Hébergement
7,https://www.datatourisme.fr/ontology/core#Dune,Dune,https://www.datatourisme.fr/ontology/core#NaturalHeritage,Site naturel
8,https://www.datatourisme.fr/ontology/core#EducationalTrail,Sentier de découverte et d'interprétation,https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace,"Site sportif, récréatif et de loisirs"
9,https://www.datatourisme.fr/ontology/core#CollectiveAccommodation,Hébergement collectif,https://www.datatourisme.fr/ontology/core#Accommodation,Hébergement
10,https://www.datatourisme.fr/ontology/core#Glacier,Glacier de montagne,https://www.datatourisme.fr/ontology/core#NaturalHeritage,Site naturel
11,https://www.datatourisme.fr/ontology/core#Gorge,Gorge,https://www.datatourisme.fr/ontology/core#NaturalHeritage,Site naturel
12,https://www.datatourisme.fr/ontology/core#HotelTrade,Hôtellerie,https://www.datatourisme.fr/ontology/core#Accommodation,Hébergement
13,https://www.datatourisme.fr/ontology/core#IceCreamShop,Glacier,https://www.datatourisme.fr/ontology/core#FoodEstablishment,Restauration
14,https://www.datatourisme.fr/ontology/core#Icefall,Cascade de glace,https://www.datatourisme.fr/ontology/core#NaturalHeritage,Site naturel
15,https://www.datatourisme.fr/ontology/core#DefenceSite,Site de défense,https://www.datatourisme.fr/ontology/core#CulturalSite,Site culturel
16,https://www.datatourisme.fr/ontology/core#DepartementTourismCommittee,Comité départemental du tourisme,https://www.datatourisme.fr/ontology/core#TouristInformationCenter,Service d'information touristique
17,https://www.datatourisme.fr/ontology/core#Cellar,Cave ou caveau,https://www.datatourisme.fr/ontology/core#FoodEstablishment,Restauration
18,https://www.datatourisme.fr/ontology/core#CaveSinkholeOrAven,"Grotte, gouffre, aven, caverne, carrière",https://www.datatourisme.fr/ontology/core#NaturalHeritage,Site naturel
19,https://www.datatourisme.fr/ontology/core#TechnicalHeritage,"Patrimoine industriel, artisanal, rural, agricole et technique",https://www.datatourisme.fr/ontology/core#CulturalSite,Site culturel
20,https://www.datatourisme.fr/ontology/core#ThemePark,"Parc de loisirs, parc à thème",https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace,"Site sportif, récréatif et de loisirs"
21,https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider,Prestataire d'activité sportive et de loisir,https://www.datatourisme.fr/ontology/core#ActivityProvider,Prestataire d'activité
22,https://www.datatourisme.fr/ontology/core#Lake,Lac,https://www.datatourisme.fr/ontology/core#NaturalHeritage,Site naturel
