,URI,Label,ParentURI,ParentLabel
14,<https://www.datatourisme.fr/ontology/core#Dune>,Dune,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
18,<https://www.datatourisme.fr/ontology/core#EducationalTrail>,Sentier de découverte et d'interprétation,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,"Site sportif, récréatif et de loisirs"
33,<https://www.datatourisme.fr/ontology/core#CollectiveAccommodation>,Hébergement collectif,<https://www.datatourisme.fr/ontology/core#Accommodation>,Hébergement
48,<https://www.datatourisme.fr/ontology/core#Glacier>,Glacier de montagne,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
49,<https://www.datatourisme.fr/ontology/core#Gorge>,Gorge,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
57,<https://www.datatourisme.fr/ontology/core#HotelTrade>,Hôtellerie,<https://www.datatourisme.fr/ontology/core#Accommodation>,Hébergement
63,<https://www.datatourisme.fr/ontology/core#IceCreamShop>,Glacier,<https://www.datatourisme.fr/ontology/core#FoodEstablishment>,Restauration
66,<https://www.datatourisme.fr/ontology/core#Icefall>,Cascade de glace,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
73,<https://www.datatourisme.fr/ontology/core#DefenceSite>,Site de défense,<https://www.datatourisme.fr/ontology/core#CulturalSite>,Site culturel
82,<https://www.datatourisme.fr/ontology/core#DepartementTourismCommittee>,Comité départemental du tourisme,<https://www.datatourisme.fr/ontology/core#TouristInformationCenter>,Service d'information touristique
87,<https://www.datatourisme.fr/ontology/core#Cellar>,Cave ou caveau,<https://www.datatourisme.fr/ontology/core#FoodEstablishment>,Restauration
89,<https://www.datatourisme.fr/ontology/core#CaveSinkholeOrAven>,"Grotte, gouffre, aven, caverne, carrière",<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
99,<https://www.datatourisme.fr/ontology/core#TechnicalHeritage>,"Patrimoine industriel, artisanal, rural, agricole et technique",<https://www.datatourisme.fr/ontology/core#CulturalSite>,Site culturel
105,<https://www.datatourisme.fr/ontology/core#ThemePark>,"Parc de loisirs, parc à thème",<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,"Site sportif, récréatif et de loisirs"
108,<https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider>,Prestataire d'activité sportive et de loisir,<https://www.datatourisme.fr/ontology/core#ActivityProvider>,Prestataire d'activité
110,<https://www.datatourisme.fr/ontology/core#Lake>,Lac,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
116,<https://www.datatourisme.fr/ontology/core#LeisureComplex>,Complexe de loisirs (loisirs regroupés),<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,"Site sportif, récréatif et de loisirs"
126,<https://www.datatourisme.fr/ontology/core#ProfessionalTourGuide>,Guide professionnel,<https://www.datatourisme.fr/ontology/core#TouristInformationCenter>,Service d'information touristique
142,<https://www.datatourisme.fr/ontology/core#ArcheologicalSite>,Site archéologique,<https://www.datatourisme.fr/ontology/core#CulturalSite>,Site culturel
175,<https://www.datatourisme.fr/ontology/core#RentalAccommodation>,Hébergement locatif,<https://www.datatourisme.fr/ontology/core#Accommodation>,Hébergement
